"Time (s);""Magnetic Field x (µT)"";""Magnetic Field y (µT)"";""Magnetic Field z (µT)"";""Absolute field (µT)""",,,,,
1,602475425E0;-1,340399933E2;-6,359999657E0;-8,345999908E1;1,5.80E+10
1,610531937E0;-1,343999939E2;-6,179999828E0;-8,381999969E1;1,5.85E+10
1,618496898E0;-1,339199982E2;-5,879999638E0;-8,429999542E1;1,5.84E+10
1,626492377E0;-1,341600037E2;-5,159999847E0;-8,400000000E1;1,5.84E+10
1,634518372E0;-1,341600037E2;-5,460000038E0;-8,418000031E1;1,5.85E+10
1,642513850E0;-1,340999908E2;-5,759999752E0;-8,358000183E1;1,5.81E+10
1,650600879E0;-1,342799988E2;-6,059999943E0;-8,322000122E1;1,5.81E+10
1,658535324E0;-1,343999939E2;-6,299999714E0;-8,322000122E1;1,5.82E+10
1,666530802E0;-1,345200043E2;-6,179999828E0;-8,333999634E1;1,5.84E+10
1,674556797E0;-1,343399963E2;-5,879999638E0;-8,369999695E1;1,5.84E+10
1,682552276E0;-1,343999939E2;-5,400000095E0;-8,400000000E1;1,5.86E+10
1,690639306E0;-1,341600037E2;-5,400000095E0;-8,411999512E1;1,5.84E+10
1,698573749E0;-1,342799988E2;-5,759999752E0;-8,411999512E1;1,5.86E+10
1,706569228E0;-1,342200012E2;-5,940000057E0;-8,387999725E1;1,5.84E+10
1,714595224E0;-1,340399933E2;-6,299999714E0;-8,375999451E1;1,5.82E+10
1,722590701E0;-1,342799988E2;-6,599999905E0;-8,358000183E1;1,5.83E+10
1,730677731E0;-1,342200012E2;-6,359999657E0;-8,340000153E1;1,5.81E+10
1,738612176E0;-1,340399933E2;-6,059999943E0;-8,340000153E1;1,5.80E+10
1,746607653E0;-1,343399963E2;-6,239999771E0;-8,327999878E1;1,5.82E+10
1,754633649E0;-1,350000000E2;-6,179999828E0;-8,351999664E1;1,5.89E+10
1,762629128E0;-1,350599976E2;-6,179999828E0;-8,363999939E1;1,5.90E+10
1,770685640E0;-1,353600006E2;-6,179999828E0;-8,418000031E1;1,5.95E+10
1,778650601E0;-1,347599945E2;-6,059999943E0;-8,429999542E1;1,5.91E+10
1,786646080E0;-1,343399963E2;-6,359999657E0;-8,454000092E1;1,5.89E+10
1,794641558E0;-1,342200012E2;-6,480000019E0;-8,423999786E1;1,5.86E+10
1,802667553E0;-1,344599915E2;-6,539999962E0;-8,375999451E1;1,5.85E+10
1,810724066E0;-1,346399994E2;-6,359999657E0;-8,381999969E1;1,5.87E+10
1,818689027E0;-1,345200043E2;-5,699999809E0;-8,315999603E1;1,5.83E+10
1,826684505E0;-1,348199921E2;-5,519999981E0;-8,304000092E1;1,5.84E+10
1,834679984E0;-1,344599915E2;-5,519999981E0;-8,327999878E1;1,5.83E+10
1,842705979E0;-1,346399994E2;-5,460000038E0;-8,315999603E1;1,5.83E+10
1,850762491E0;-1,345200043E2;-5,460000038E0;-8,400000000E1;1,5.87E+10
1,858696936E0;-1,340999908E2;-5,460000038E0;-8,400000000E1;1,5.83E+10
1,866722931E0;-1,342200012E2;-5,519999981E0;-8,351999664E1;1,5.82E+10
1,874718409E0;-1,345200043E2;-5,759999752E0;-8,333999634E1;1,5.83E+10
1,882744404E0;-1,343999939E2;-5,940000057E0;-8,237999725E1;1,5.78E+10
1,890800917E0;-1,345800018E2;-6,299999714E0;-8,273999786E1;1,5.81E+10
1,898735361E0;-1,345200043E2;-6,299999714E0;-8,309999847E1;1,5.82E+10
1,906761357E0;-1,342200012E2;-5,879999638E0;-8,327999878E1;1,5.81E+10
1,914756835E0;-1,341600037E2;-6,000000000E0;-8,387999725E1;1,5.83E+10
1,922752313E0;-1,342200012E2;-5,879999638E0;-8,351999664E1;1,5.82E+10
1,930839343E0;-1,340999908E2;-6,000000000E0;-8,351999664E1;1,5.81E+10
1,938773787E0;-1,340399933E2;-6,239999771E0;-8,363999939E1;1,5.81E+10
1,946799783E0;-1,341600037E2;-6,480000019E0;-8,322000122E1;1,5.80E+10
1,954795261E0;-1,336199951E2;-6,239999771E0;-8,340000153E1;1,5.76E+10
1,962790739E0;-1,335599976E2;-6,239999771E0;-8,363999939E1;1,5.77E+10
1,970877769E0;-1,335599976E2;-6,179999828E0;-8,340000153E1;1,5.76E+10
1,978812213E0;-1,336799927E2;-5,759999752E0;-8,369999695E1;1,5.78E+10
1,986807692E0;-1,340399933E2;-6,059999943E0;-8,375999451E1;1,5.82E+10
1,994833687E0;-1,340999908E2;-6,119999886E0;-8,351999664E1;1,5.81E+10
2,002829165E0;-1,340399933E2;-6,359999657E0;-8,351999664E1;1,5.81E+10
2,010916194E0;-1,338000031E2;-6,480000019E0;-8,381999969E1;1,5.80E+10
2,018850639E0;-1,338600006E2;-6,239999771E0;-8,387999725E1;1,5.81E+10
2,026846117E0;-1,340399933E2;-5,879999638E0;-8,436000061E1;1,5.85E+10
2,034872112E0;-1,344599915E2;-5,639999866E0;-8,441999817E1;1,5.89E+10
2,042928625E0;-1,344599915E2;-5,819999695E0;-8,447999573E1;1,5.89E+10
2,050985137E0;-1,346999969E2;-6,059999943E0;-8,447999573E1;1,5.91E+10
2,058950098E0;-1,343399963E2;-6,119999886E0;-8,369999695E1;1,5.84E+10
2,066945577E0;-1,340399933E2;-5,940000057E0;-8,411999512E1;1,5.84E+10
2,074941055E0;-1,342200012E2;-5,639999866E0;-8,400000000E1;1,5.84E+10
2,082967050E0;-1,338600006E2;-5,339999676E0;-8,393999481E1;1,5.81E+10
2,091023563E0;-1,342799988E2;-5,339999676E0;-8,411999512E1;1,5.85E+10
2,098958007E0;-1,343399963E2;-5,579999924E0;-8,345999908E1;1,5.83E+10
2,106984002E0;-1,346399994E2;-5,639999866E0;-8,297999573E1;1,5.83E+10
2,114979481E0;-1,349400024E2;-5,460000038E0;-8,333999634E1;1,5.87E+10
2,122974959E0;-1,344599915E2;-5,339999676E0;-8,304000092E1;1,5.81E+10
2,131061988E0;-1,343999939E2;-5,339999676E0;-8,358000183E1;1,5.84E+10
2,138996433E0;-1,342200012E2;-5,519999981E0;-8,393999481E1;1,5.84E+10
2,146991911E0;-1,340999908E2;-5,879999638E0;-8,358000183E1;1,5.81E+10
2,155017906E0;-1,342200012E2;-6,480000019E0;-8,369999695E1;1,5.83E+10
2,163013385E0;-1,339799957E2;-6,839999676E0;-8,345999908E1;1,5.80E+10
2,171100415E0;-1,338000031E2;-7,019999981E0;-8,333999634E1;1,5.78E+10
2,179034859E0;-1,336199951E2;-6,659999847E0;-8,358000183E1;1,5.77E+10
2,187030337E0;-1,339799957E2;-6,359999657E0;-8,387999725E1;1,5.82E+10
2,195056333E0;-1,343399963E2;-6,179999828E0;-8,400000000E1;1,5.86E+10
2,203051811E0;-1,342200012E2;-6,119999886E0;-8,375999451E1;1,5.83E+10
2,211138840E0;-1,348199921E2;-6,839999676E0;-8,358000183E1;1,5.88E+10
2,219073285E0;-1,342200012E2;-6,960000038E0;-8,358000183E1;1,5.83E+10
2,227068763E0;-1,340399933E2;-6,719999790E0;-8,333999634E1;1,5.80E+10
2,235094758E0;-1,342200012E2;-6,539999962E0;-8,333999634E1;1,5.81E+10
2,243090237E0;-1,339199982E2;-6,000000000E0;-8,333999634E1;1,5.78E+10
2,251177266E0;-1,344599915E2;-5,940000057E0;-8,309999847E1;1,5.82E+10
2,259111710E0;-1,346399994E2;-6,000000000E0;-8,315999603E1;1,5.84E+10
2,267107189E0;-1,340999908E2;-5,699999809E0;-8,327999878E1;1,5.80E+10
2,275133184E0;-1,339199982E2;-5,699999809E0;-8,291999817E1;1,5.76E+10
2,283128662E0;-1,335599976E2;-5,460000038E0;-8,322000122E1;1,5.75E+10
2,291215691E0;-1,336199951E2;-5,400000095E0;-8,340000153E1;1,5.76E+10
2,299150136E0;-1,338600006E2;-5,639999866E0;-8,340000153E1;1,5.78E+10
2,307145614E0;-1,342799988E2;-5,519999981E0;-8,393999481E1;1,5.85E+10
2,315171610E0;-1,345800018E2;-5,460000038E0;-8,400000000E1;1,5.87E+10
2,323167088E0;-1,345200043E2;-5,159999847E0;-8,393999481E1;1,5.86E+10
2,331223600E0;-1,345200043E2;-5,339999676E0;-8,423999786E1;1,5.88E+10
2,339188562E0;-1,341600037E2;-5,400000095E0;-8,418000031E1;1,5.85E+10
2,347184040E0;-1,340399933E2;-5,759999752E0;-8,393999481E1;1,5.83E+10
2,355210036E0;-1,341600037E2;-6,359999657E0;-8,387999725E1;1,5.84E+10
2,363205514E0;-1,342799988E2;-6,420000076E0;-8,358000183E1;1,5.83E+10
2,371262026E0;-1,337399902E2;-6,420000076E0;-8,340000153E1;1,5.77E+10
2,379226988E0;-1,336199951E2;-6,480000019E0;-8,351999664E1;1,5.77E+10
2,387222466E0;-1,334400024E2;-6,299999714E0;-8,358000183E1;1,5.76E+10
2,395248461E0;-1,333799896E2;-5,879999638E0;-8,363999939E1;1,5.75E+10
2,403243940E0;-1,338000031E2;-5,759999752E0;-8,369999695E1;1,5.79E+10
2,411330969E0;-1,337399902E2;-5,519999981E0;-8,363999939E1;1,5.78E+10
2,419265413E0;-1,337399902E2;-5,519999981E0;-8,369999695E1;1,5.79E+10
2,427260892E0;-1,338600006E2;-5,759999752E0;-8,358000183E1;1,5.79E+10
2,435286887E0;-1,338000031E2;-6,119999886E0;-8,387999725E1;1,5.80E+10
2,443282365E0;-1,339799957E2;-6,299999714E0;-8,387999725E1;1,5.82E+10
2,451338878E0;-1,340399933E2;-6,239999771E0;-8,340000153E1;1,5.80E+10
2,459303839E0;-1,338000031E2;-6,239999771E0;-8,375999451E1;1,5.80E+10
2,467299317E0;-1,339799957E2;-6,119999886E0;-8,315999603E1;1,5.78E+10
